index,Date,Country,Status,AQI,timeStamp,countryCode
134,2022-07-21,United Arab Emirates,Moderate,91.0,1658386800.0,134
135,2022-07-21,United Kingdom of Great Britain and Northern Ireland,Moderate,55.0,1658386800.0,135
136,2022-07-21,United States of America,Unhealthy for Sensitive Groups,111.5,1658386800.0,136
137,2022-07-21,Uzbekistan,Moderate,59.0,1658386800.0,137
138,2022-07-21,Vatican,Moderate,70.0,1658386800.0,138
139,2022-07-21,Venezuela,Good,2.5,1658386800.0,139
140,2022-07-21,Vietnam,Good,42.0,1658386800.0,140
141,2022-07-21,Zambia,Good,46.5,1658386800.0,141
142,2022-07-22,Albania,Good,16.666666666666668,1658473200.0,142
143,2022-07-22,Algeria,Moderate,65.0,1658473200.0,1
144,2022-07-22,Andorra,Good,46.66666666666666,1658473200.0,2
145,2022-07-22,Angola,Unhealthy for Sensitive Groups,123.33333333333331,1658473200.0,3
146,2022-07-22,Argentina,Moderate,57.333333333333336,1658473200.0,4
147,2022-07-22,Armenia,Moderate,52.66666666666666,1658473200.0,5
148,2022-07-22,Australia,Moderate,51.0,1658473200.0,6
149,2022-07-22,Austria,Good,47.66666666666666,1658473200.0,7
150,2022-07-22,Azerbaijan,Good,20.33333333333333,1658473200.0,8
151,2022-07-22,Bahrain,Unhealthy,156.33333333333334,1658473200.0,9
152,2022-07-22,Bangladesh,Unhealthy for Sensitive Groups,141.0,1658473200.0,10
153,2022-07-22,Belarus,Good,35.666666666666664,1658473200.0,11
154,2022-07-22,Belgium,Good,41.0,1658473200.0,12
155,2022-07-22,Belize,Good,15.666666666666666,1658473200.0,13
156,2022-07-22,Bermuda,Good,17.0,1658473200.0,14
157,2022-07-22,Bolivia,Moderate,50.66666666666666,1658473200.0,15
158,2022-07-22,Bosnia and Herzegovina,Moderate,71.33333333333333,1658473200.0,16
159,2022-07-22,Brazil,Moderate,97.33333333333331,1658473200.0,17
160,2022-07-22,Brunei,Good,15.333333333333334,1658473200.0,18
161,2022-07-22,Bulgaria,Good,35.333333333333336,1658473200.0,19
162,2022-07-22,Burkina Faso,Unhealthy for Sensitive Groups,114.0,1658473200.0,20
163,2022-07-22,Cambodia,Good,15.0,1658473200.0,21
164,2022-07-22,Canada,Moderate,63.66666666666666,1658473200.0,22
165,2022-07-22,Cape Verde,Moderate,53.66666666666666,1658473200.0,23
166,2022-07-22,Cayman Islands,Good,7.666666666666667,1658473200.0,24
167,2022-07-22,Central African Republic,Unhealthy for Sensitive Groups,117.0,1658473200.0,25
168,2022-07-22,Chad,Unhealthy for Sensitive Groups,109.33333333333331,1658473200.0,26
169,2022-07-22,Chile,Unhealthy for Sensitive Groups,138.0,1658473200.0,27
170,2022-07-22,China,Unhealthy,160.66666666666666,1658473200.0,28
171,2022-07-22,Colombia,Moderate,67.33333333333333,1658473200.0,29
172,2022-07-22,Costa Rica,Good,36.66666666666666,1658473200.0,30
173,2022-07-22,Croatia,Moderate,52.0,1658473200.0,31
174,2022-07-22,Cyprus,Moderate,50.333333333333336,1658473200.0,32
175,2022-07-22,Czech Republic,Moderate,85.66666666666667,1658473200.0,33
176,2022-07-22,Denmark,Good,19.0,1658473200.0,34
177,2022-07-22,Dominican Republic,Good,21.0,1658473200.0,35
178,2022-07-22,Ecuador,Moderate,56.333333333333336,1658473200.0,36
179,2022-07-22,Egypt,Moderate,86.0,1658473200.0,37
180,2022-07-22,El Salvador,Moderate,82.0,1658473200.0,38
181,2022-07-22,Estonia,Good,27.666666666666668,1658473200.0,39
182,2022-07-22,Ethiopia,Unhealthy for Sensitive Groups,135.66666666666666,1658473200.0,40
183,2022-07-22,Finland,Good,49.333333333333336,1658473200.0,41
184,2022-07-22,France,Moderate,67.33333333333333,1658473200.0,42
185,2022-07-22,French Guiana,Good,12.0,1658473200.0,43
186,2022-07-22,Gabon,Unhealthy for Sensitive Groups,125.66666666666669,1658473200.0,44
187,2022-07-22,Gambia,Good,25.666666666666668,1658473200.0,45
188,2022-07-22,Georgia,Good,36.333333333333336,1658473200.0,46
