index,Date,Country,Status,AQI
264,2022-07-22,Sweden,Good,36.333333333333336
265,2022-07-22,Switzerland,Good,38.0
266,2022-07-22,Taiwan,Moderate,65.0
267,2022-07-22,Tajikistan,Moderate,78.66666666666667
268,2022-07-22,Thailand,Moderate,89.66666666666667
269,2022-07-22,Togo,Moderate,80.33333333333333
270,2022-07-22,Trinidad and Tobago,Good,41.333333333333336
271,2022-07-22,Turkey,Moderate,84.0
272,2022-07-22,Turkmenistan,Moderate,96.66666666666667
273,2022-07-22,Uganda,Unhealthy,163.0
274,2022-07-22,Ukraine,Good,45.666666666666664
275,2022-07-22,United Arab Emirates,Moderate,84.33333333333333
276,2022-07-22,United Kingdom of Great Britain and Northern Ireland,Good,46.333333333333336
277,2022-07-22,United States of America,Moderate,89.66666666666667
278,2022-07-22,Uzbekistan,Moderate,90.0
279,2022-07-22,Vatican,Moderate,63.333333333333336
280,2022-07-22,Venezuela,Good,13.0
281,2022-07-22,Vietnam,Moderate,85.33333333333333
282,2022-07-22,Zambia,Moderate,67.33333333333333
283,2022-07-23,Albania,Good,17.5
284,2022-07-23,Algeria,Moderate,65.0
285,2022-07-23,Andorra,Good,39.0
286,2022-07-23,Angola,Unhealthy for Sensitive Groups,107.0
287,2022-07-23,Argentina,Moderate,55.5
288,2022-07-23,Armenia,Good,41.5
289,2022-07-23,Australia,Moderate,63.0
290,2022-07-23,Austria,Good,29.5
291,2022-07-23,Azerbaijan,Good,18.5
292,2022-07-23,Bahrain,Unhealthy for Sensitive Groups,126.0
293,2022-07-23,Bangladesh,Unhealthy for Sensitive Groups,141.0
294,2022-07-23,Belarus,Good,49.0
295,2022-07-23,Belgium,Moderate,59.0
296,2022-07-23,Belize,Good,7.0
297,2022-07-23,Bermuda,Good,13.0
298,2022-07-23,Bolivia,Moderate,58.5
299,2022-07-23,Bosnia and Herzegovina,Moderate,77.0
300,2022-07-23,Brazil,Unhealthy for Sensitive Groups,117.0
301,2022-07-23,Brunei,Good,10.0
302,2022-07-23,Bulgaria,Good,42.0
303,2022-07-23,Burkina Faso,Moderate,70.5
304,2022-07-23,Cambodia,Good,15.0
305,2022-07-23,Canada,Moderate,68.5
306,2022-07-23,Cape Verde,Moderate,54.0
307,2022-07-23,Cayman Islands,Good,1.5
308,2022-07-23,Central African Republic,Moderate,86.5
309,2022-07-23,Chad,Moderate,66.5
310,2022-07-23,Chile,Unhealthy for Sensitive Groups,125.0
311,2022-07-23,China,Unhealthy for Sensitive Groups,145.0
312,2022-07-23,Colombia,Moderate,72.5
313,2022-07-23,Costa Rica,Good,19.5
314,2022-07-23,Croatia,Good,41.0
315,2022-07-23,Cyprus,Good,45.5
316,2022-07-23,Czech Republic,Moderate,77.5
317,2022-07-23,Denmark,Good,12.0
318,2022-07-23,Dominican Republic,Good,22.5
319,2022-07-23,Ecuador,Moderate,64.0
320,2022-07-23,Egypt,Moderate,86.0
321,2022-07-23,El Salvador,Moderate,72.0
322,2022-07-23,Estonia,Good,32.5
323,2022-07-23,Ethiopia,Unhealthy for Sensitive Groups,141.0
324,2022-07-23,Finland,Good,28.5
325,2022-07-23,France,Moderate,83.5
326,2022-07-23,French Guiana,Good,13.5
327,2022-07-23,Gabon,Unhealthy,222.5
328,2022-07-23,Gambia,Good,33.0
329,2022-07-23,Georgia,Good,38.0
330,2022-07-23,Germany,Moderate,60.5
